scientific_name,name_da,status,source,license,attribution,issues,recommendations
"Branta canadensis","Canadagås","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Branta%20canadensis; Document original source or replace with properly attributed image"
"Anser brachyrhynchus","Kortnæbbet gås","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Anser%20brachyrhynchus; Document original source or replace with properly attributed image"
"Anser albifrons","Blisgås","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Anser%20albifrons; Document original source or replace with properly attributed image"
"Branta bernicla","Knortegås","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Branta%20bernicla; Document original source or replace with properly attributed image"
"Anas platyrhynchos","Gråand","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Anas%20platyrhynchos; Document original source or replace with properly attributed image"
"Anas crecca","Krikand","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Anas%20crecca; Document original source or replace with properly attributed image"
"Mareca penelope","Pibeand","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Mareca%20penelope; Document original source or replace with properly attributed image"
"Anas acuta","Spidsand","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Anas%20acuta; Document original source or replace with properly attributed image"
"Spatula clypeata","Skeand","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Spatula%20clypeata; Document original source or replace with properly attributed image"
"Aythya fuligula","Troldand","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Aythya%20fuligula; Document original source or replace with properly attributed image"
"Aythya ferina","Taffeland","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Aythya%20ferina; Document original source or replace with properly attributed image"
"Bucephala clangula","Hvinand","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Bucephala%20clangula; Document original source or replace with properly attributed image"
"Somateria mollissima","Ederfugl","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Somateria%20mollissima; Document original source or replace with properly attributed image"
"Melanitta nigra","Sortand","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Melanitta%20nigra; Document original source or replace with properly attributed image"
"Melanitta fusca","Fløjlsand","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Melanitta%20fusca; Document original source or replace with properly attributed image"
"Clangula hyemalis","Havlit","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Clangula%20hyemalis; Document original source or replace with properly attributed image"
"Aythya marila","Bjergand","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Aythya%20marila; Document original source or replace with properly attributed image"
"Mergus serrator","Toppet skallesluger","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Mergus%20serrator; Document original source or replace with properly attributed image"
"Mergus merganser","Stor skallesluger","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Mergus%20merganser; Document original source or replace with properly attributed image"
